address,classify,comsume,district,envir,name,plate,service,taste,type,url
龙茗路990号抖蛙烤鱼楼上,美食 ,102, 闵行区 ,8.4,炉得香北京烤鸭火锅(龙茗路店), 万源城/东兰路 ,8.6,8.8, 火锅 ,http://www.dianping.com/shop/97435241
富城路190号,美食 ,736, 浦东新区 ,9.3,云空煮海, 陆家嘴 ,9.2,9.1, 本帮江浙菜 ,http://www.dianping.com/shop/93077944
银城中路501号上海中心大厦L3-4,美食 ,304, 浦东新区 ,9.2,旬野菜・鲜和牛寿喜烧专门店, 陆家嘴 ,9.0,8.8, 日本菜 ,http://www.dianping.com/shop/98281287
漕宝路3299号七宝宝龙城市广场1层1F-61,美食 ,123, 闵行区 ,8.9,巴实重庆老火锅(七宝宝龙店), 七宝 ,9.1,9.0, 火锅 ,http://www.dianping.com/shop/67346765
天平路320弄21号1-2层,美食 ,2958, 徐汇区 ,9.2,黄公子, 徐家汇 ,9.1,9.3, 其他美食 ,http://www.dianping.com/shop/95964098
新天地南里黄陂南路376号,美食 ,958, 黄浦区 ,9.3,洋房火锅(新天地店), 新天地 ,9.3,9.3, 火锅 ,http://www.dianping.com/shop/8844957
南京东路299号宏伊国际广场5层,美食 ,123, 黄浦区 ,9.0,红魔重庆美蛙火锅(宏伊国际广场店), 南京东路 ,9.2,9.2, 火锅 ,http://www.dianping.com/shop/102090073
邯郸路399号财富大酒店A区2楼,美食 ,104, 杨浦区 ,8.3,红辣椒(杨浦店), 五角场/大学区 ,9.0,8.5, 川菜 ,http://www.dianping.com/shop/2873341
沪太路与晋城路交叉口大融城1号楼L302室,美食 ,99, 静安区 ,9.2,红魔重庆美蛙火锅(静安大融城店), 大宁地区 ,9.3,9.3, 火锅 ,http://www.dianping.com/shop/102496368
吴中路1599号万象城5层L518a,美食 ,324, 闵行区 ,9.1,址锫(万象城店), 虹桥镇 ,8.9,9.0, 火锅 ,http://www.dianping.com/shop/95087172
南京西路2-68号新世界城4楼,美食 ,123, 黄浦区 ,8.4,煲宫(人广新世界店), 人民广场 ,8.7,8.8, 火锅 ,http://www.dianping.com/shop/5530450
金陵东路500号亚龙国际广场5层,美食 ,136, 黄浦区 ,8.9,重庆高老九火锅(人民广场店), 人民广场 ,8.9,9.0, 火锅 ,http://www.dianping.com/shop/9964442
商城路665号C幢2层203单元,美食 ,147, 浦东新区 ,9.1,坎爷秘制火锅(陆家嘴店), 八佰伴 ,9.1,9.0, 火锅 ,http://www.dianping.com/shop/97792763
田林路105号,美食 ,136, 徐汇区 ,9.1,蜀大侠火锅(田林路店), 漕河泾/田林 ,9.1,9.1, 火锅 ,http://www.dianping.com/shop/95379991
崂山路588号,美食 ,165, 浦东新区 ,8.6,纯味斑鱼府(浦东店), 百联世纪/96广场 ,8.9,9.2, 火锅 ,http://www.dianping.com/shop/21303576
